FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION,GP_career,GS_career,MIN_career,FGM_career,FGA_career,FG_PCT_career,FG3M_career,FG3A_career,FG3_PCT_career,FTM_career,FTA_career,FT_PCT_career,OREB_career,DREB_career,REB_career,AST_career,STL_career,BLK_career,TOV_career,PF_career,PTS_career
Mike Miller,2034,2006-07,43,-15,True,MEM,27,70,39.1,6.6,14.4,0.46,2.9,7.1,0.406,2.3,2.9,0.7929999999999999,0.7,4.7,5.4,4.3,0.8,0.3,2.6,2.0,18.5,SF,1032,570,27.0,3.9,8.5,0.45899999999999996,1.5,3.8,0.40700000000000003,1.3,1.7,0.769,0.6,3.6,4.2,2.6,0.6,0.2,1.5,2.0,10.6
Jamal Crawford,2037,2013-14,85,-38,True,LAC,34,69,30.4,6.1,14.7,0.41600000000000004,2.3,6.5,0.361,4.0,4.7,0.866,0.5,1.8,2.3,3.2,0.9,0.2,2.0,1.7,18.6,SG,1327,433,29.4,5.1,12.4,0.41,1.7,4.8,0.348,2.8,3.2,0.862,0.4,1.9,2.2,3.4,0.9,0.2,1.9,1.5,14.6
Hedo Turkoglu,2045,2008-09,54,-41,True,ORL,30,77,36.6,5.5,13.3,0.413,1.7,4.9,0.35600000000000004,4.1,5.1,0.807,0.6,4.7,5.3,4.9,0.8,0.2,2.6,2.8,16.8,SF,997,571,26.8,3.9,9.1,0.426,1.2,3.3,0.384,2.1,2.7,0.784,0.6,3.3,4.0,2.8,0.8,0.3,1.6,2.4,11.1
Tyson Chandler,2199,2014-15,19,-68,True,DAL,32,75,30.5,3.9,5.9,0.6659999999999999,0.0,0.0,0.0,2.5,3.4,0.72,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3,C,1160,886,27.3,3.1,5.1,0.597,0.0,0.0,0.0,2.1,3.2,0.644,3.0,6.0,9.0,0.8,0.5,1.2,1.4,2.8,8.2
Pau Gasol,2200,2015-16,12,-44,True,CHI,35,72,31.8,6.5,13.8,0.469,0.3,1.0,0.348,3.2,4.0,0.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5,PF,1226,1150,33.4,6.5,12.8,0.507,0.1,0.4,0.368,3.9,5.1,0.753,2.5,6.7,9.2,3.2,0.5,1.6,2.2,2.1,17.0
Jason Richardson,2202,2007-08,39,-25,True,CHA,27,82,38.4,7.9,17.9,0.441,3.0,7.3,0.406,3.0,4.0,0.752,1.0,4.4,5.4,3.1,1.4,0.7,2.0,2.9,21.8,SG,857,842,34.1,6.5,14.8,0.43799999999999994,1.9,5.1,0.37,2.2,3.2,0.7070000000000001,1.2,3.7,5.0,2.7,1.2,0.4,1.8,2.3,17.1
Joe Johnson,2207,2015-16,112,-62,True,TOT,35,81,33.4,4.7,10.6,0.439,1.5,3.9,0.38299999999999995,1.5,1.8,0.831,0.6,3.0,3.6,3.9,0.8,0.0,2.0,1.8,12.2,SG,1277,1091,34.6,6.1,13.9,0.441,1.5,4.2,0.371,2.2,2.7,0.802,0.8,3.1,4.0,3.9,0.8,0.2,1.9,1.8,16.0
Richard Jefferson,2210,2013-14,172,-74,True,UTA,34,82,27.0,3.6,8.0,0.45,1.5,3.7,0.409,1.5,2.0,0.741,0.2,2.5,2.7,1.6,0.7,0.2,1.1,2.0,10.1,SF,1181,809,29.0,4.4,9.4,0.46399999999999997,0.9,2.3,0.376,3.0,3.9,0.768,0.8,3.2,4.0,2.0,0.7,0.3,1.5,2.2,12.6
Troy Murphy,2211,2008-09,15,-11,True,IND,29,73,34.0,5.0,10.5,0.475,2.2,4.9,0.45,2.1,2.5,0.826,2.0,9.8,11.8,2.4,0.8,0.5,1.6,3.1,14.3,C,729,482,27.3,3.9,8.8,0.445,0.8,2.2,0.38799999999999996,2.1,2.7,0.785,1.9,5.9,7.8,1.5,0.7,0.4,1.2,2.6,10.8
Jason Collins,2215,2004-05,122,-38,True,NJN,26,80,31.8,2.3,5.6,0.41200000000000003,0.0,0.1,0.33299999999999996,1.7,2.6,0.6559999999999999,1.9,4.2,6.1,1.3,0.9,0.9,1.1,4.0,6.4,C,735,477,20.4,1.2,3.0,0.41100000000000003,0.0,0.0,0.20600000000000002,1.1,1.6,0.647,1.2,2.4,3.7,0.9,0.5,0.5,0.8,2.8,3.6
Zach Randolph,2216,2014-15,24,-29,True,MEM,33,71,32.4,6.4,13.1,0.48700000000000004,0.1,0.3,0.35,3.2,4.2,0.765,3.2,7.4,10.5,2.2,1.0,0.2,2.2,2.5,16.1,PF,1116,883,31.0,6.7,14.1,0.47100000000000003,0.2,0.7,0.273,3.1,4.1,0.764,2.9,6.2,9.1,1.8,0.7,0.3,2.1,2.4,16.6
Brendan Haywood,2217,2009-10,55,-117,True,TOT,30,77,30.6,3.6,6.4,0.562,0.0,0.0,0.0,2.0,3.2,0.62,3.6,5.7,9.3,0.6,0.3,2.1,1.3,2.7,9.1,C,816,549,22.9,2.6,4.9,0.528,0.0,0.0,0.0,1.6,2.8,0.5870000000000001,2.6,3.4,6.0,0.5,0.4,1.4,1.0,2.5,6.8
Samuel Dalembert,2223,2009-10,56,-46,True,PHI,30,82,25.9,3.5,6.4,0.545,0.0,0.0,0.0,1.2,1.6,0.7290000000000001,2.9,6.6,9.6,0.8,0.5,1.8,1.5,3.1,8.1,C,886,694,24.4,3.2,6.1,0.521,0.0,0.0,0.083,1.3,1.9,0.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,7.7
Tony Parker,2225,2015-16,96,-58,True,SAS,34,72,27.5,4.9,9.9,0.493,0.4,0.9,0.415,1.8,2.4,0.76,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9,PG,1254,1151,30.5,6.2,12.6,0.491,0.4,1.3,0.324,2.7,3.6,0.7509999999999999,0.4,2.4,2.7,5.6,0.8,0.1,2.3,1.6,15.5
Mike James,2229,2005-06,33,-107,True,TOR,31,79,37.0,7.3,15.5,0.469,2.1,4.8,0.442,3.6,4.3,0.8370000000000001,0.6,2.7,3.3,5.8,0.9,0.0,2.6,2.7,20.3,PG,595,286,24.1,3.6,8.6,0.41700000000000004,1.2,3.0,0.379,1.5,1.9,0.802,0.4,1.9,2.2,3.5,0.8,0.1,1.5,2.0,9.9
Earl Watson,2248,2009-10,126,-58,True,IND,31,79,29.4,2.8,6.6,0.426,0.7,2.3,0.28800000000000003,1.5,2.1,0.71,0.7,2.4,3.0,5.1,1.3,0.2,2.2,2.3,7.8,PG,878,227,22.2,2.4,5.9,0.41100000000000003,0.6,1.8,0.324,1.0,1.4,0.703,0.5,1.7,2.3,4.4,1.0,0.2,1.8,2.0,6.4
Chris Andersen,2365,2013-14,139,-20,True,MIA,35,72,19.4,2.5,3.8,0.644,0.0,0.2,0.25,1.7,2.3,0.71,1.8,3.5,5.3,0.3,0.4,1.3,0.7,2.3,6.6,C,695,45,17.7,1.9,3.6,0.532,0.0,0.1,0.221,1.5,2.3,0.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
Drew Gooden,2400,2004-05,33,-32,True,CLE,23,82,30.8,5.7,11.5,0.49200000000000005,0.1,0.3,0.179,3.1,3.8,0.81,2.5,6.7,9.2,1.6,0.9,0.9,1.6,2.8,14.4,PF,790,500,25.5,4.3,9.4,0.462,0.1,0.4,0.257,2.2,2.8,0.76,2.4,4.7,7.1,1.1,0.7,0.6,1.5,2.5,11.0
Nene,2403,2009-10,31,-2,True,DEN,27,82,33.6,5.1,8.7,0.5870000000000001,0.0,0.0,0.0,3.6,5.1,0.7040000000000001,2.0,5.6,7.6,2.5,1.4,1.0,1.5,3.4,13.8,C,965,626,26.1,4.3,7.9,0.5479999999999999,0.0,0.1,0.132,2.6,4.0,0.66,1.7,4.3,6.0,1.8,1.1,0.7,1.7,3.0,11.3
Caron Butler,2406,2008-09,22,-43,True,WAS,29,67,38.6,7.3,16.2,0.45299999999999996,1.0,3.1,0.31,5.1,6.0,0.858,1.8,4.4,6.2,4.3,1.6,0.3,3.1,2.5,20.8,SF,881,732,32.2,5.2,12.0,0.434,0.8,2.4,0.348,2.8,3.3,0.847,1.3,3.7,5.0,2.3,1.3,0.2,1.8,2.4,14.1
Tayshaun Prince,2419,2012-13,121,-98,True,TOT,33,82,32.1,4.4,10.0,0.43799999999999994,0.5,1.1,0.40399999999999997,1.2,1.6,0.738,0.9,3.6,4.4,2.4,0.6,0.3,1.1,1.0,10.4,SF,1017,902,31.0,4.5,9.9,0.455,0.6,1.5,0.36700000000000005,1.5,2.0,0.7559999999999999,1.1,3.2,4.3,2.4,0.6,0.5,1.0,1.2,11.1
John Salmons,2422,2012-13,146,-89,True,SAC,33,76,30.0,3.2,8.1,0.39899999999999997,1.3,3.5,0.371,1.1,1.4,0.773,0.4,2.3,2.7,3.0,0.7,0.3,1.1,1.9,8.8,SF,895,429,26.4,3.4,7.8,0.431,0.8,2.2,0.366,1.7,2.2,0.799,0.5,2.4,2.9,2.4,0.8,0.3,1.3,1.9,9.3
Roger Mason Jr.,2427,2008-09,135,-55,True,SAS,28,82,30.4,4.3,10.0,0.425,2.0,4.8,0.42100000000000004,1.3,1.4,0.89,0.2,2.9,3.1,2.1,0.5,0.1,1.2,2.0,11.8,SG,518,103,17.7,2.3,5.7,0.408,1.1,3.0,0.38299999999999995,0.6,0.7,0.866,0.2,1.6,1.7,1.3,0.4,0.1,0.7,1.4,6.3
Matt Barnes,2440,2012-13,103,-32,True,LAC,33,80,25.7,3.9,8.4,0.462,1.4,4.1,0.342,1.1,1.5,0.7440000000000001,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3,SF,929,359,23.6,3.0,6.9,0.436,1.1,3.2,0.335,1.1,1.5,0.745,1.1,3.5,4.6,1.8,0.8,0.5,1.3,2.5,8.2
Rasual Butler,2446,2008-09,139,6,True,NOH,30,82,31.9,4.2,9.8,0.433,1.7,4.4,0.39,1.0,1.3,0.782,0.6,2.7,3.3,0.9,0.6,0.7,0.7,1.9,11.2,SF,809,266,21.3,2.8,7.0,0.40299999999999997,1.1,3.1,0.36200000000000004,0.7,1.0,0.747,0.4,2.0,2.4,0.8,0.4,0.5,0.7,1.4,7.5
Jannero Pargo,2457,2006-07,164,-33,True,NOK,27,82,20.9,3.5,8.4,0.409,1.0,2.5,0.38799999999999996,1.3,1.5,0.852,0.2,2.0,2.2,2.5,0.6,0.0,1.5,1.5,9.2,PG,499,18,14.9,2.5,6.3,0.391,0.8,2.3,0.35600000000000004,0.6,0.7,0.8640000000000001,0.2,1.2,1.4,2.0,0.5,0.1,1.1,1.3,6.4
Reggie Evans,2501,2007-08,158,-35,True,PHI,28,81,23.2,1.9,4.3,0.439,0.0,0.0,1.0,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,PF,809,372,19.3,1.4,2.9,0.465,0.0,0.0,0.091,1.3,2.5,0.528,2.5,4.7,7.1,0.6,0.7,0.1,1.1,2.3,4.1
Carmelo Anthony,2546,2016-17,41,-47,True,NYK,33,74,34.3,8.1,18.8,0.433,2.0,5.7,0.359,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,SF,1260,1120,34.5,8.0,18.0,0.447,1.4,3.9,0.355,5.0,6.2,0.8140000000000001,1.6,4.6,6.2,2.7,1.0,0.5,2.4,2.8,22.5
Dwyane Wade,2548,2016-17,61,-66,True,CHI,35,60,29.9,6.9,15.9,0.434,0.8,2.4,0.31,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,SG,1054,909,33.9,8.0,16.7,0.48,0.5,1.8,0.293,5.4,7.1,0.765,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0
Chris Kaman,2549,2006-07,83,66,True,LAC,25,75,29.0,3.9,8.7,0.451,0.0,0.0,0.0,2.2,3.0,0.741,2.1,5.7,7.8,1.1,0.5,1.5,2.0,3.3,10.1,C,735,538,26.7,4.7,9.6,0.489,0.0,0.0,0.042,1.8,2.5,0.743,2.0,5.6,7.6,1.3,0.4,1.3,2.1,2.7,11.2
Kirk Hinrich,2550,2013-14,156,-95,True,CHI,33,73,29.0,3.3,8.5,0.39299999999999996,1.2,3.3,0.35100000000000003,1.3,1.7,0.76,0.4,2.2,2.6,3.9,1.1,0.4,1.6,2.8,9.1,PG,879,665,30.7,4.0,9.7,0.41100000000000003,1.3,3.6,0.375,1.6,2.0,0.8,0.4,2.6,2.9,4.8,1.1,0.3,1.8,2.8,10.9
