FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
Kevin Garnett,708,1995-96,83,64,FALSE,MIN,20,80,28.7,4.5,9.2,0.491,0.1,0.4,0.286,1.3,1.9,0.705,2.2,4.1,6.3,1.8,1.1,1.6,1.4,2.4,10.4,PF
Kevin Garnett,708,1996-97,19,14,FALSE,MIN,21,77,38.9,7.1,14.3,0.499,0.1,0.3,0.286,2.7,3.5,0.754,2.5,5.6,8,3.1,1.4,2.1,2.3,2.6,17,PF
Kevin Garnett,708,1997-98,5,-2,FALSE,MIN,22,82,39.3,7.7,15.8,0.491,0,0.2,0.188,3,4,0.738,2.7,6.9,9.6,4.2,1.7,1.8,2.3,2.7,18.5,PF
Kevin Garnett,708,1998-99,7,5,FALSE,MIN,23,47,37.9,8.8,19.1,0.46,0.1,0.3,0.286,3.1,4.4,0.704,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8,PF
Kevin Garnett,708,1999-00,2,-1,FALSE,MIN,24,81,40,9.4,18.8,0.497,0.4,1,0.37,3.8,5,0.765,2.8,9,11.8,5,1.5,1.6,3.3,2.5,22.9,PF
Kevin Garnett,708,2000-01,3,0,FALSE,MIN,25,81,39.5,8.7,18.2,0.477,0.2,0.8,0.288,4.4,5.8,0.764,2.7,8.7,11.4,5,1.4,1.8,2.8,2.5,22,PF
Kevin Garnett,708,2001-02,3,2,FALSE,MIN,26,81,39.2,8.1,17.3,0.47,0.5,1.4,0.319,4.4,5.5,0.801,3,9.1,12.1,5.2,1.2,1.6,2.8,2.3,21.2,PF
Kevin Garnett,708,2002-03,1,0,FALSE,MIN,27,82,40.5,9.1,18.1,0.502,0.2,0.9,0.282,4.6,6.1,0.751,3,10.5,13.4,6,1.4,1.6,2.8,2.4,23,PF
Kevin Garnett,708,2003-04,1,0,FALSE,MIN,28,82,39.4,9.8,19.6,0.499,0.1,0.5,0.256,4.5,5.7,0.791,3,10.9,13.9,5,1.5,2.2,2.6,2.5,24.2,PF
Kevin Garnett,708,2004-05,1,0,FALSE,MIN,29,82,38.1,8.3,16.6,0.502,0.1,0.3,0.24,5.4,6.7,0.811,3,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,PF
Kevin Garnett,708,2005-06,1,0,FALSE,MIN,30,76,38.9,8.2,15.7,0.526,0.1,0.4,0.267,5.2,6.4,0.81,2.8,9.9,12.7,4.1,1.4,1.4,2.4,2.7,21.8,PF
Kevin Garnett,708,2006-07,1,-8,FALSE,MIN,31,76,39.4,8.4,17.6,0.476,0.2,0.7,0.214,5.5,6.6,0.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,PF
Kevin Garnett,708,2009-10,39,17,FALSE,BOS,34,69,29.9,5.8,11.2,0.521,0,0.1,0.2,2.7,3.2,0.837,1.1,6.2,7.3,2.7,1,0.8,1.5,2.5,14.3,PF
Kevin Garnett,708,2010-11,22,2,FALSE,BOS,35,71,31.3,6.1,11.6,0.528,0,0.1,0.2,2.6,3.1,0.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9,PF
Kevin Garnett,708,2011-12,20,-16,TRUE,BOS,36,60,31.1,6.5,13,0.503,0.1,0.2,0.333,2.7,3.2,0.857,1.1,7.1,8.2,2.9,0.9,1,1.8,2.4,15.8,PF
Jerry Stackhouse,711,1995-96,81,5,FALSE,PHL,21,72,37.5,6.3,15.2,0.414,1.3,4.1,0.318,5.4,7.2,0.747,1.3,2.4,3.7,3.9,1.1,1.1,3.5,2.5,19.2,SF
Jerry Stackhouse,711,1996-97,76,-17,FALSE,PHI,22,81,39.1,6.6,16.1,0.407,1.3,4.2,0.298,6.3,8.2,0.766,1.9,2.2,4.2,3.1,1.1,0.8,3.9,2.7,20.7,SF
Jerry Stackhouse,711,1999-00,36,9,FALSE,DET,25,82,38.4,7.5,17.6,0.428,1,3.5,0.288,7.5,9.2,0.815,1.4,2.4,3.8,4.5,1.3,0.4,3.8,2.3,23.6,SF
Jerry Stackhouse,711,2000-01,27,-20,TRUE,DET,26,80,40.1,9.7,24.1,0.402,2.1,5.9,0.351,8.3,10.1,0.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2,29.8,SF
Jerry Stackhouse,711,2001-02,47,6,FALSE,DET,27,76,35.3,6.9,17.4,0.397,1.1,3.9,0.287,6.5,7.6,0.858,1,3.1,4.1,5.3,1,0.5,3.5,2.1,21.4,SF
Rasheed Wallace,739,1997-98,47,-17,FALSE,POR,23,77,37.6,6.1,11.4,0.533,0.1,0.5,0.205,2.4,3.6,0.662,1.7,4.5,6.2,2.5,1,1.1,2.2,3.5,14.6,C
Rasheed Wallace,739,1998-99,64,29,FALSE,POR,24,49,28.9,4.9,9.7,0.508,0.3,0.6,0.419,2.7,3.7,0.732,1.2,3.8,4.9,1.2,1,1.1,1.6,3.6,12.8,C
Rasheed Wallace,739,1999-00,35,15,FALSE,POR,25,81,35.1,6.7,12.9,0.519,0.1,0.6,0.16,2.9,4.1,0.704,1.6,5.4,7,1.8,1.1,1.3,1.9,2.7,16.4,C
Rasheed Wallace,739,2000-01,20,-2,FALSE,POR,26,77,38.2,7.7,15.3,0.501,0.7,2.1,0.321,3.2,4.2,0.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2,C
