PLAYER_ID,SEASON_ID,RANK_PG_EFF
203382,2012-13,
203382,2013-14,
203382,2014-15,178.0
203382,2015-16,182.0
203382,2016-17,209.0
203382,2017-18,176.0
203382,2018-19,
203382,2019-20,
203382,2020-21,190.0
201158,2007-08,
201158,2008-09,
201158,2009-10,
201158,2010-11,169.0
201158,2011-12,136.0
201158,2012-13,169.0
201158,2013-14,137.0
201158,2014-15,201.0
201158,2015-16,223.0
201158,2016-17,166.0
201158,2017-18,158.0
201158,2018-19,187.0
201158,2019-20,244.0
201976,2012-13,
201976,2013-14,
201976,2014-15,
201976,2015-16,116.0
201976,2016-17,79.0
201976,2017-18,
201976,2018-19,119.0
201976,2019-20,119.0
201976,2020-21,
201976,2021-22,95.0
201976,2022-23,186.0
1497,1997-98,124.0
1497,1998-99,85.0
1497,1999-00,
1497,2000-01,134.0
1497,2001-02,80.0
1497,2002-03,57.0
1497,2003-04,52.0
1497,2004-05,41.0
1497,2005-06,23.0
1497,2006-07,38.0
1497,2007-08,41.0
1497,2008-09,39.0
1497,2009-10,41.0
1497,2010-11,54.0
1497,2011-12,
1497,2012-13,
1497,2013-14,
202357,2015-16,212.0
202357,2016-17,210.0
202357,2017-18,175.0
202357,2018-19,108.0
202357,2019-20,78.0
202357,2020-21,
202357,2021-22,178.0
2581,2003-04,186.0
2581,2004-05,
2581,2005-06,
2581,2006-07,152.0
2581,2007-08,137.0
2581,2008-09,111.0
2581,2009-10,144.0
2581,2010-11,197.0
2581,2011-12,
2581,2012-13,
2581,2013-14,
2581,2014-15,243.0
2581,2015-16,245.0
