PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
201952,00,0,826,600,26.8,4.3,9.7,0.444,0.9,2.4,0.36,2.7,3.2,0.844,0.3,2.1,2.4,5.6,1.1,0.3,2.2,1.9,12.2
202066,00,0,705,287,21.1,2.2,5.6,0.402,1.0,2.9,0.344,0.8,1.1,0.74,0.4,1.9,2.3,1.7,0.8,0.3,0.9,1.9,6.3
1891,00,0,1410,679,29.8,4.9,11.1,0.444,1.6,4.3,0.38,2.0,2.3,0.845,0.4,2.0,2.3,3.8,1.1,0.2,1.7,1.8,13.4
202738,00,0,550,362,28.3,5.8,13.3,0.434,1.9,5.2,0.362,4.3,4.9,0.872,0.5,1.9,2.4,4.8,0.9,0.1,2.3,2.1,17.7
703,00,0,1110,650,24.5,3.5,7.1,0.486,0.0,0.0,0.281,1.2,1.5,0.76,1.7,4.9,6.6,1.1,0.7,0.8,1.1,3.2,8.1
2224,00,0,547,404,26.4,3.2,8.2,0.393,0.7,2.4,0.299,1.3,1.9,0.716,0.6,2.3,2.9,6.1,1.4,0.3,2.5,2.4,8.5
201229,00,0,730,105,19.4,2.0,4.8,0.414,1.2,3.2,0.373,0.9,1.2,0.771,0.7,2.6,3.3,0.9,0.4,0.3,0.6,1.6,6.1
200782,00,0,818,622,28.9,2.5,5.9,0.425,1.0,2.8,0.364,0.9,1.2,0.749,1.5,4.1,5.6,1.4,1.1,0.3,1.0,2.5,6.9
2045,00,0,997,571,26.8,3.9,9.1,0.426,1.2,3.3,0.384,2.1,2.7,0.784,0.6,3.3,4.0,2.8,0.8,0.3,1.6,2.4,11.1
2757,00,0,831,272,21.9,3.3,7.1,0.463,0.6,1.6,0.349,1.2,1.5,0.833,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4
2760,00,0,632,209,23.9,2.9,5.6,0.509,0.0,0.1,0.023,1.5,2.4,0.63,2.4,4.8,7.2,1.2,0.8,0.6,0.9,2.6,7.2
2756,00,0,581,58,15.3,1.9,4.7,0.39,0.9,2.5,0.367,0.7,0.8,0.858,0.4,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.3
2548,00,0,1054,909,33.9,8.0,16.7,0.48,0.5,1.8,0.293,5.4,7.1,0.765,1.2,3.5,4.7,5.4,1.5,0.8,3.2,2.2,22.0
739,00,0,1109,956,32.7,5.7,12.2,0.467,1.0,2.9,0.336,2.1,2.9,0.721,1.4,5.3,6.7,1.8,1.0,1.3,1.5,2.9,14.4
2575,00,0,564,138,17.2,1.9,4.3,0.429,0.3,1.0,0.326,0.7,0.9,0.715,0.9,2.0,2.8,2.3,0.6,0.2,1.1,1.4,4.7
201228,00,0,600,104,20.2,2.5,6.0,0.419,0.8,2.1,0.373,1.4,1.7,0.812,0.4,1.6,1.9,2.5,0.9,0.1,1.1,1.5,7.2
2248,00,0,878,227,22.2,2.4,5.9,0.411,0.6,1.8,0.324,1.0,1.4,0.703,0.5,1.7,2.3,4.4,1.0,0.2,1.8,2.0,6.4
2561,00,0,1034,742,28.2,5.5,11.1,0.495,0.1,0.2,0.265,2.5,3.0,0.817,1.7,4.6,6.4,2.2,0.7,0.8,1.6,2.3,13.6
201566,00,0,1062,1007,34.5,8.1,18.4,0.437,1.1,3.7,0.304,5.3,6.8,0.781,1.6,5.7,7.4,8.4,1.6,0.3,4.1,2.6,22.5
202355,00,0,511,332,24.7,5.3,9.0,0.586,0.0,0.1,0.308,2.1,3.5,0.605,3.1,7.7,10.8,0.6,0.5,2.2,1.5,2.6,12.6
2863,00,0,582,150,18.9,2.3,5.4,0.426,0.4,1.1,0.327,1.2,1.6,0.783,0.8,1.6,2.3,1.4,0.7,0.2,0.9,1.6,6.2
101114,00,0,845,771,34.2,5.8,13.0,0.445,1.4,3.9,0.357,3.4,4.1,0.822,0.4,2.7,3.1,8.1,1.0,0.2,2.8,2.5,16.3
101150,00,0,1123,122,24.1,4.5,10.7,0.419,1.3,3.7,0.351,3.6,4.3,0.842,0.4,1.8,2.2,3.4,0.8,0.2,1.7,1.3,13.9
101107,00,0,1072,828,28.1,3.7,8.3,0.443,1.0,2.7,0.361,1.9,2.4,0.808,1.2,4.0,5.2,1.3,0.8,0.5,1.0,2.0,10.2
2590,00,0,818,525,29.2,5.0,11.4,0.434,1.3,3.5,0.378,1.9,2.2,0.871,0.5,2.3,2.8,4.9,0.9,0.1,2.3,2.5,13.2
1897,00,0,991,840,31.7,4.7,11.4,0.414,1.2,3.4,0.339,2.6,3.6,0.715,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2
201156,00,0,720,201,22.8,4.0,9.6,0.418,1.4,3.8,0.376,1.9,2.3,0.836,0.4,1.6,2.0,1.0,0.5,0.2,1.0,1.8,11.4
201152,00,0,1120,720,28.9,5.4,10.7,0.502,0.5,1.4,0.33,1.3,1.9,0.663,2.0,3.8,5.8,1.8,1.4,0.4,1.4,2.2,12.5
